model,feature_count,n_rows,background_size,strategy,n_cores,median_elapsed_seconds,median_energy_joules,mean_elapsed_seconds,mean_energy_joules,std_elapsed_seconds,std_energy_joules,repeats,median_elapsed_minutes,energy_per_second,time_energy_product
LogisticRegression,30,100,50,threading,8,12.694559400028083,287.1458030005547,13.03368826668399,309.9615706666253,0.6441582449868747,40.88830682192656,3,0.21157599000046806,22.619595840397537,3645.1894526593037
LogisticRegression,30,100,50,ray,8,14.628933399973905,330.6303790025611,13.082037900011832,334.3715360004343,2.932052439794537,19.36023159421654,3,0.24381555666623175,22.60112681920822,4836.769794436596
LogisticRegression,30,100,100,joblib,4,9.20353509997949,202.4784090017384,13.174088833349137,227.09264900059313,6.919190597330917,44.2315450507371,3,0.15339225166632484,22.00006919104265,1863.5171442355027
LogisticRegression,30,100,100,joblib,1,9.23787449998781,200.0719990019717,17.54502869998881,277.2220370012346,14.396656670464138,134.8925664887523,3,0.15396457499979685,21.657795741026327,1848.240017741901
LogisticRegression,30,100,100,serial,1,9.313806299993304,205.4190960019464,10.566299700003583,204.0816880005847,2.2306863399462977,3.1287673362227983,3,0.1552301049998884,22.055332630451428,1913.2336704818579
LogisticRegression,30,100,100,threading,1,9.408789900015108,205.55434100134607,17.56170543333671,281.55621766723374,14.264720108712863,133.87884867145704,3,0.1568131650002518,21.84705399798714,1934.0176075177264
LogisticRegression,30,100,100,multiprocessing,2,9.435063499957325,208.73825999819795,14.052309133325858,249.18173633264874,8.016472906372595,70.82794258956865,3,0.15725105833262207,22.12367304143126,1969.4587379535997
LogisticRegression,30,100,100,multiprocessing,4,9.437447500007693,207.70235900221533,11.410161066664537,220.96596833414696,3.718989482112317,26.829318378419345,3,0.15729079166679488,22.008319410735375,1960.1801087111573
LogisticRegression,30,100,100,joblib,2,10.433950599981472,233.14486300022307,16.65070036664838,277.5895696665198,11.106210442138591,86.16508634843402,3,0.17389917666635787,22.344831017374865,2432.6219831837757
LogisticRegression,30,100,100,threading,2,10.998702800017782,243.72553799747453,22.18649653333705,351.65783199974095,19.494188165409383,187.6906247938551,3,0.1833117133336297,22.159480297720247,2680.6647572086636
