strategy,model,feature_count,n_rows,background_size,n_cores,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,repeats,time_cv_percent,energy_cv_percent
ray,SVM-RBF,30,100,50,2,74.60975723333347,19.78528355991301,1676.1590120002809,386.44538523169456,3,26.518359385672312,23.055413147856513
joblib,SVM-RBF,30,100,25,8,29.41260299998491,7.737433637615657,745.5189480004242,24.85450402767577,3,26.306524579343172,3.3338527604615122
joblib,SVM-RBF,15,100,50,1,97.68998383334838,25.440932468728374,1960.8357926668243,122.21529467451329,3,26.042518864706388,6.23281639041763
threading,SVM-RBF,30,100,100,1,247.28800080000656,64.09658277357146,4914.341140000567,167.07948168489858,3,25.919811137706343,3.3998348288226343
multiprocessing,SVM-RBF,15,100,50,1,100.06830183333174,25.72835504557332,1948.3868646667233,57.907706874781,3,25.710794101837614,2.9720846473005893
ray,SVM-RBF,30,100,100,1,216.45833050001724,54.92726283910813,4479.59547300065,325.52232257301176,3,25.375444184673572,7.266779434326046
threading,SVM-RBF,30,100,100,2,145.3005380333246,36.77889185387994,3145.2566813323087,263.6174088837638,3,25.31228882679341,8.381427514275156
threading,SVM-RBF,30,100,50,2,81.84773886667487,19.532909934480514,1709.741521333308,107.15118907621664,3,23.86493531152824,6.267098724528659
multiprocessing,SVM-RBF,30,100,100,2,152.3096547666743,35.99940560415612,3137.4416970006423,123.36375394433463,3,23.635668834851085,3.9319855429431225
ray,SVM-RBF,30,100,50,1,116.65589779997633,27.50172443431472,2432.0786926661826,230.9922212589634,3,23.575082745898083,9.497728093893896
multiprocessing,LogisticRegression,15,100,100,8,12.243378300006347,2.852986635329976,263.202925335218,42.57092089944797,3,23.30228279664035,16.17418227598694
threading,SVM-RBF,15,100,100,2,118.92860283333964,27.633996553059127,2344.7851833328036,77.62525311724855,3,23.235786761729617,3.3105486024487094
multiprocessing,LogisticRegression,30,100,50,1,10.207576866649712,2.3510788113159853,228.25490799815023,55.252980940397535,3,23.032682898499168,24.20670005520552
ray,SVM-RBF,30,100,100,2,131.3151662000067,29.755949664636923,2887.073773998672,417.86997745180383,3,22.65994898054312,14.473824022620768
ray,LogisticRegression,30,100,50,8,13.082037900011832,2.932052439794537,334.3715360004343,19.36023159421654,3,22.41281107886016,5.790035786476572
serial,LogisticRegression,30,100,100,1,10.566299700003583,2.2306863399462977,204.0816880005847,3.1287673362227983,3,21.111329446253933,1.5330955789692577
multiprocessing,LogisticRegression,15,100,50,1,8.20681550000639,1.6962604567998507,181.89053399967068,18.402175043504112,3,20.66892397908214,10.117170277556847
multiprocessing,LogisticRegression,30,100,100,8,13.30282766664944,2.6969493375759988,271.6384419988282,16.18496889516029,3,20.273504289146928,5.958276294056386
joblib,LogisticRegression,15,100,50,8,8.403526433336083,1.6882859078023775,221.43552599966367,12.399479562329246,3,20.090207619328588,5.599589093191884
ray,SVM-RBF,15,100,50,8,45.01397913331554,8.309168149772836,1185.4818240000259,56.925687050238075,3,18.45908384407432,4.801902981368429
joblib,LogisticRegression,30,100,50,8,9.364594266652906,1.7104854838378598,248.75713833343445,28.306522450505422,3,18.265452139542845,11.37917996651148
threading,SVM-RBF,30,100,25,2,42.15573713334743,7.545888353761819,854.0442639983003,29.99653256071241,3,17.90002705893291,3.5122924917591987
ray,LogisticRegression,15,100,50,2,11.266970700002275,2.0079381657789046,318.6106109995354,161.54762192761777,3,17.821455466982787,50.703779582486455
joblib,SVM-RBF,15,100,50,8,38.020579033356626,6.769340686420367,1008.9920526670008,77.80947377440982,3,17.804412395932783,7.711604226092889
ray,LogisticRegression,30,100,25,8,11.713073766673915,2.083776102568831,319.60892400144036,15.150831730277382,3,17.790173135403613,4.740428252312849
joblib,SVM-RBF,30,100,25,2,43.63671313330997,7.485194703146493,884.4880550005961,28.053131075307476,3,17.153433807627206,3.171680037588362
threading,SVM-RBF,30,100,100,8,82.7643735333307,13.819331879241712,2138.4071586681735,51.96719128307622,3,16.697198672900505,2.4301822537594773
multiprocessing,SVM-RBF,30,100,50,8,47.975174266670365,7.9338743879427085,1260.102612333966,79.77505353661716,3,16.53745819419479,6.330837882230683
ray,SVM-RBF,15,100,100,2,118.16089590000531,19.447756368565546,2623.7652003342355,63.97093156554967,3,16.458707612561923,2.4381347674479623
ray,SVM-RBF,15,100,100,8,77.92947309999727,12.202602225985439,2017.5522860010562,64.40119201996605,3,15.658520121555739,3.1920457510230955
multiprocessing,SVM-RBF,15,100,50,8,36.6268587000086,5.715046287813725,1007.3096139990558,30.708203121673264,3,15.603430080156953,3.04853668573266
joblib,SVM-RBF,30,100,25,1,66.89520816667937,10.197314771466793,1099.762280000475,149.9283567086726,3,15.243714835386513,13.632796781192372
threading,SVM-RBF,30,100,50,8,44.31783120000424,6.599013828187078,1178.9575246658967,26.906482680687127,3,14.890200286214473,2.282226638174443
joblib,SVM-RBF,15,100,50,4,45.911966533322506,6.7021797663605085,1110.4057459999387,246.05624100984892,3,14.597893038400183,22.159128939689626
ray,LogisticRegression,15,100,100,8,15.56343080002504,2.2043088791826095,353.52965699975704,50.13254304972766,3,14.163386643381118,14.180576383656016
multiprocessing,LogisticRegression,15,100,50,2,6.672124499978963,0.929345256071743,164.36666133287926,36.35106428158292,3,13.928775700673349,22.115837838893547
joblib,SVM-RBF,15,100,100,8,66.97265196667286,8.98205712270292,1766.5781599994127,95.37802843294338,3,13.411529719881182,5.399026807451027
ray,LogisticRegression,30,100,50,4,10.780416266643442,1.4298354957855184,270.75561733135027,24.638000889096638,3,13.263267951996324,9.099719197679542
ray,SVM-RBF,30,100,50,8,51.88387713332971,6.833764416466034,1334.7789009984997,11.942322270976778,3,13.171267827392352,0.8947041537773155
threading,SVM-RBF,30,100,25,8,25.607192733325064,3.25881923786058,682.6354150003002,11.881743749196433,3,12.726187020178786,1.7405694882078757
threading,LogisticRegression,30,100,50,4,12.380167066624077,1.5729362542617469,285.3794823327885,49.96987731415628,3,12.70529101745529,17.50997545642931
ray,LogisticRegression,15,100,50,4,11.578402966668364,1.462000545477345,311.47529599904743,129.56658185609206,3,12.626962023053768,41.597707272582
joblib,SVM-RBF,30,100,100,8,89.5149482000076,11.245680276151873,2321.5472093330054,216.8609426019317,3,12.562907650937923,9.341224754341185
ray,LogisticRegression,15,100,50,8,15.289905333309434,1.9168891551399927,390.0678993349408,131.94621634195613,3,12.5369589500597,33.82647394643912
